rank,stock_id,name,industry_category,entry_score,entry_signal,close,volume_ratio,rsi14,adx14,foreign_buy_streak,invest_trust_streak,dealer_buy_streak,f_score,condition_count,margin_change_5d,relative_strength_5d,return_5d,revenue_yoy,sma5,sma10,grade,entry_reason,limit_down_streak,expected_hold_days,momentum_decay_signal,estimated_sl_days
80,2491,吉祥全,,1139.8890307451536,False,22.55,1.0949147033387112,64.65420451114835,40.35005902267649,1.0,0.0,1.0,-1,10,,0.0358982468908997,0.1417721518987342,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, adx_trending, stronger_than_market, obv_uptrend, cci_momentum, mfi_strong, above_ichimoku_cloud",,,,
81,2423,固緯,,1137.920986230267,False,82.6,1.240568583852102,74.91878123117435,52.48508429005396,0.0,0.0,1.0,-1,10,,0.0303021610169245,0.136176066024759,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
82,3016,嘉晶,,1136.9776115956702,False,126.0,2.563633366950386,65.65118757680725,46.928668426949805,0.0,0.0,0.0,-1,10,,0.0941260949921654,0.1999999999999999,,,,D,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, mfi_strong, above_ichimoku_cloud",,,,
83,3048,益登,,1136.505969220269,False,70.0,0.8548167751153521,77.81617877196429,55.09300396341592,0.0,0.0,0.0,-1,10,,0.0286479750569952,0.1345218800648298,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
84,3036,文曄,,1135.8462990326266,False,296.0,0.6338541685033511,69.80954974253318,44.00195788421872,3.0,0.0,0.0,-1,10,,-0.0449420053662574,0.060931899641577,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
85,2316,楠梓電,,1135.433897409428,False,168.0,1.234543444668739,73.41508491885958,41.494035281706026,0.0,0.0,0.0,-1,10,,0.1159442768103473,0.2218181818181819,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
86,3583,辛耘,,1133.9517556238775,False,876.0,0.6689324336255744,57.33378291140644,41.79655302327228,3.0,0.0,0.0,-1,10,,-0.0453412173565028,0.0605326876513316,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
87,3588,通嘉,,1131.5830161370166,False,64.5,1.5402803726929923,59.94234787031317,29.62474576801283,6.0,0.0,1.0,-1,10,,-0.0344453335792631,0.0714285714285714,,,,D,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, market_above_ma60, foreign_buy_3d, adx_trending, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
88,3006,晶豪科,,1129.958927937319,False,241.0,0.9842496124240984,63.66940365894597,42.38921557228857,2.0,0.0,0.0,-1,10,,-0.0227278375921042,0.0831460674157302,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, kd_golden_cross, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
89,3607,谷崧,,1128.4876758587409,False,15.2,1.2708789833742815,61.71386705564596,14.324023004654808,8.0,0.0,0.0,-1,10,,-0.035451369796567,0.0704225352112675,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, foreign_buy_3d, obv_uptrend, bb_squeeze_breakout, mfi_strong, above_ichimoku_cloud",,,,
90,2363,矽統,,1127.953320954127,False,66.8,1.1156791931411152,64.71501680438755,46.235833001037136,0.0,0.0,0.0,-1,10,,0.0056069602167909,0.1114808652246255,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
91,3149,正達,,1126.987276594666,False,65.4,0.9900572447838252,69.0028325139476,40.88838036189702,0.0,0.0,1.0,-1,10,,0.0619832378493083,0.1678571428571429,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
92,3356,奇偶,,1126.004163445284,False,64.4,0.6361055283770444,68.38764867750723,48.075756565791366,0.0,0.0,4.0,-1,10,,-0.0343264840427761,0.0715474209650584,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, obv_uptrend, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",,,,
93,2484,希華,,1125.967834864524,False,52.6,1.2802349690072383,65.93417707005142,35.01698402737948,0.0,0.0,1.0,-1,10,,0.0814850114707208,0.1873589164785554,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
94,3305,昇貿,,1125.124449506437,False,160.0,0.8854034983882118,75.37720774705934,38.33928650481972,0.0,0.0,0.0,-1,10,,0.0793112801773505,0.1851851851851851,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
95,2436,偉詮電,,1124.895415148701,False,78.1,1.321827976426229,59.400733560526746,23.490152626169145,6.0,0.0,0.0,-1,10,,-0.0181301724173053,0.0877437325905292,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
96,3450,聯鈞,,1124.172970847351,False,501.0,1.230881163907494,66.09889165186064,31.290727459966504,0.0,1.0,0.0,-1,10,,0.1057343174830964,0.211608222490931,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
97,2390,云辰,,1123.2479552468003,False,10.7,1.568402857154316,64.9502702323409,30.93688831832515,2.0,0.0,1.0,-1,10,,-0.0337296164306804,0.0721442885771541,,,,D,"above_ema60, volume_break, rsi_strong, breakout_20d, market_above_ma60, adx_trending, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,,,
98,2478,大毅,,1123.0184296424218,False,120.0,0.4427409745749245,78.24603945471847,45.43433456807205,2.0,0.0,0.0,-1,10,,0.0315668532860042,0.1374407582938388,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
99,3652,精聯,,1122.7361855619647,False,32.8,2.283565708711028,69.84907174305903,28.54252648417032,1.0,0.0,1.0,-1,10,,0.0135800199068409,0.1194539249146755,,,,D,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, market_above_ma60, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
100,3013,晟銘電,,1121.3008518844026,False,119.5,1.7135876793194886,61.37495710119813,23.43256863767641,0.0,0.0,0.0,-1,10,,0.1073240645353126,0.2131979695431471,,,,D,"above_ema60, volume_break, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
101,2465,麗臺,,1120.6892059030188,False,86.0,0.9749968330734424,62.867952098850864,37.77001431645397,0.0,0.0,1.0,-1,10,,0.0316922325583031,0.1375661375661376,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
102,2421,建準,,1120.343604953723,False,162.0,0.998821408694462,64.94619328605393,17.6560680808482,0.0,7.0,0.0,-1,10,,0.0269932278592983,0.1328671328671329,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, stronger_than_market, obv_uptrend, invest_trust_buy_2d, mfi_strong, above_ichimoku_cloud",,,,
103,2330,台積電,,1118.4966665290967,False,2300.0,1.0331981468898472,60.677015826034776,28.488917666244983,1.0,1.0,5.0,-1,10,,-0.0532423260604661,0.0526315789473683,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, kd_golden_cross, dealer_buy_3d, cci_momentum, above_ichimoku_cloud",,,,
104,3533,嘉澤,,1118.3778095456355,False,2625.0,0.710243106901561,56.04998257679367,20.633955418081197,2.0,9.0,0.0,-1,10,,0.0064142305853858,0.1122881355932203,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, invest_trust_buy_2d, mfi_strong, above_ichimoku_cloud",,,,
105,3596,智易,,1118.0122097482756,False,188.5,0.960754085612616,60.80347947803072,25.13531008163806,6.0,0.0,0.0,-1,10,,-0.0673064118948869,0.0385674931129476,,,,D,"above_ema60, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, foreign_buy_3d, adx_trending, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
106,2342,茂矽,,1118.0037257172262,False,44.05,1.1398662930636698,66.10655764731024,32.02905459456258,1.0,0.0,1.0,-1,10,,0.0457600819202699,0.1516339869281044,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
107,3022,威強電,,1117.9808246574364,False,73.9,1.0148854012305224,61.92411487045389,19.90247421493077,6.0,0.0,4.0,-1,10,,-0.0207050356979958,0.0851688693098386,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, foreign_buy_3d, obv_uptrend, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",,,,
