rank,stock_id,name,industry_category,entry_score,entry_signal,close,volume_ratio,rsi14,adx14,foreign_buy_streak,invest_trust_streak,dealer_buy_streak,f_score,condition_count,margin_change_5d,relative_strength_5d,return_5d,revenue_yoy,entry_reason,limit_down_streak
81,4739,康普,,857.6696644301101,False,108.0,1.2669664430110057,62.57818575927964,28.178105088680176,1.0,0.0,1.0,-1,12,0.0,0.0109551359448707,0.0693069306930693,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, cci_momentum, mfi_strong, above_ichimoku_cloud",0
82,4931,新盛力,,853.0823629329938,False,229.5,0.8082362932993714,70.3343862688636,44.36058344274984,1.0,0.0,2.0,-1,12,0.0,0.024195375063122,0.0825471698113207,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, cci_momentum, mfi_strong, above_ichimoku_cloud",0
83,8028,昇陽半導體,,845.6968034126131,False,327.0,1.0696803412613132,72.2399534887915,43.726152888588736,0.0,3.0,0.0,-1,11,0.0,0.053893103210985,0.1122448979591836,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, mfi_strong, above_ichimoku_cloud",0
84,7610,聯友金屬-創,,843.5590585692275,False,1475.0,0.3559058569227488,88.75241895103758,69.46876851142768,6.0,0.0,0.0,-1,12,0.0,0.1216482052518013,0.1799999999999999,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",0
85,6197,佳必琪,,842.4755881986026,False,297.0,1.2475588198602656,80.37826497099311,47.77263356685799,0.0,0.0,1.0,-1,11,0.0,0.1018044552518013,0.16015625,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",0
86,5484,慧友,,841.9096693685682,False,48.75,1.190966936856822,65.12405771761917,35.56465446454293,0.0,0.0,1.0,-1,11,0.0,0.0322522320974389,0.0906040268456376,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, kd_golden_cross, obv_uptrend, mfi_strong, above_ichimoku_cloud",0
87,3149,正達,,841.5175825277515,False,71.2,1.1517582527751549,74.4030662984421,45.27709326571069,0.0,0.0,0.0,-1,11,0.0,0.1463859379083156,0.2047377326565143,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",0
88,4555,氣立,,840.1999049206986,False,58.1,1.0199904920698624,80.46409206217689,52.64074546266055,0.0,0.0,0.0,-1,11,0.0,0.1106622897588436,0.1690140845070422,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",0
89,8050,廣積,,838.7555948179572,False,59.0,0.8755594817957261,78.0388741680285,53.08086317063617,0.0,0.0,0.0,-1,11,0.0,0.0383024803447382,0.0966542750929368,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, kd_golden_cross, obv_uptrend, mfi_strong, above_ichimoku_cloud",0
90,6742,澤米,,837.8506498843689,False,57.9,0.2850649884368808,70.85854546344432,41.3881010200176,5.0,0.0,5.0,-1,12,0.0,-0.1168883801140523,-0.0585365853658537,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, foreign_buy_3d, adx_trending, obv_uptrend, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",0
